Product_Name,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_qualtiy,Speaker,Frequency,,,
MOTOROLA,4.4,9687,1532,₹22499,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
Thomson,4.1,54251,7937,₹9999,₹14990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,Thin Bezel Design,,,
Coocaa,4.3,2662,600,₹32999,₹73990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Coocaa,4.4,0,0,₹11999,₹25999,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Thomson,4.6,2427,585,₹37999,₹54999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,40877,3658,₹42999,₹49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Thomson,4.1,54251,7937,₹7999,₹10499,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,Zero Dot A+ Panel,,,
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Nokia,4.3,23271,3975,₹49999,₹59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,48 W Speaker Output,60 Hz Refresh Rate,,,
Hisense,4.4,0,0,₹31999,₹54990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
Hyundai,4.2,0,0,₹11999,₹22990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,,,
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
Thomson,4.4,22032,5954,₹32999,₹40999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
KODAK,4.1,14221,2269,₹8990,₹15999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade,,,
Nokia,4.3,11336,1966,₹33999,₹45999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,39 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹16999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
Blaupunkt,4.4,6977,1601,₹15999,₹23999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
SONY,4.7,621,131,₹46999,₹66900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,7344,883,₹35999,₹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Sansui,4.2,0,0,₹13999,₹20990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
LG,4.4,0,0,₹59999,₹109990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
LG,4.5,801,121,₹39999,₹59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
MOTOROLA,4.4,0,0,₹28999,₹39000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Yuwa,1.8,0,0,₹8449,₹20999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Coocaa,4.4,0,0,₹20999,₹35999,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Thomson,4.4,4207,868,₹33999,₹46999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
SONY,4.6,838,147,₹35999,₹44900,Netflix|Youtube,Operating System: Linux,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Croma,4.2,0,0,₹6990,₹15000,HD Ready 1366 x 786 Pixels,16 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel,,,
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
KODAK,4.4,31763,7301,₹17999,₹20999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Dyanora,4.1,0,0,₹6399,₹10999,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+Grade,,,
HUIDI,4,4864,558,₹9299,₹15599,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SONY,4.8,0,0,₹72990,₹109900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Blaupunkt,4.6,3380,928,₹28999,₹41999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,50 W Speaker Output,60 Hz Refresh Rate,,,
KODAK,4.4,31763,7301,₹20499,₹27999,Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.3,6717,707,₹81990,₹116900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Hyundai,4.8,0,0,₹13999,₹26990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Hisense,4.3,913,147,₹27990,₹36990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹16999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.6,0,0,₹75999,₹134900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
ONIDA,4.4,591,102,₹26999,₹41990,Netflix|Prime Video|Youtube,Operating System: VIDAA,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SONY,4.8,0,0,₹72990,₹109900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Google TV,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
Hyundai,4.2,0,0,₹11999,₹22990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,16 W Speaker Output,60 Hz Refresh Rate,,,
iFFALCON,4.3,18688,2568,₹49990,₹106990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
KODAK,4.6,597,160,₹32999,₹46499,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
InnoQ,4.1,0,0,₹6190,₹17990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade Premium Dot Free Panel,,,
SONY,4.6,4341,738,₹23999,₹29900,Netflix|Prime Video|Youtube,Operating System: Linux based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Nokia,4.3,23271,3975,₹15499,₹20000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
MOTOROLA,4.4,9687,1532,₹26999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
Candes,4.1,0,0,₹8299,₹22690,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Candes Domestic Warranty,,,
Croma,0,0,0,₹21990,₹40000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
